object_name total_weight skin_weight length width outer_length net_weight
R-5 172 61 165 38 226 111
R-9 150 51 143 39 224 99
R-14 206 70 183 40 275 136
R-15 198 72 167 41 269 126
R-16 230 74 218 39 277 156
R-17 247 88 225 39 288 159
R-18 205 80 180 42 255 125
R-19 182 68 177 38 234 114
R-20 168 63 155 40 240 105
R-21 173 62 164 38 232 111
R-22 179 63 179 37 224 116
R-23 179 63 185 36 216 116
R-24 146 54 155 37 200 92
R-25 165 62 147 37 205 103
R-26 134 50 137 36 214 84
R-27 126 46 134 34 214 80
R-28 127 46 142 34 194 81
R-29 209 79 172 40 278 130
R-30 226 88 200 41 265 138
R-31 193 69 175 41 265 124
R-32 183 64 168 39 256 119
R-33 211 72 195 42 263 139
R-34 198 78 190 39 242 120
R-35 187 71 190 38 234 116
R-36 166 64 152 38 241 102
R-37 162 61 161 40 243 101
R-38 162 59 156 39 248 103
R-39 181 80 158 38 253 101
R-40 188 88 186 37 239 100
R-41 197 84 183 39 260 113
R-42 194 79 190 41 255 115
R-43 124 50 121 37 211 74
R-44 118 48 125 36 204 70
R-45 116 42 124 38 208 74
R-46 120 44 144 36 181 76
R-47 130 50 149 36 179 80
R-48 118 42 130 37 204 76
R-49 126 48 153 35 180 78
